kode,jumlah_pus,h_nanti,h_tidakingin,tdk_h_nanti,tdk_h_tidakingin,unmeet_need,prasarana,faskes,nakes,kb_aktif
1,90828,1,1,2750,6942,9694,430,53,70,68628
2,137991,0,1,9535,12727,22263,3108,545,657,93039
3,121056,0,0,5105,6918,12023,1398,243,286,92226
4,166179,1,1,6797,12010,18809,645,76,127,119094
5,185045,0,0,9602,15759,25361,574,74,104,126899
6,246453,27,15,8902,18316,27260,979,115,185,173476
7,431356,2,3,8296,19559,27860,1482,164,208,329890
8,168283,0,0,2945,9342,12287,1580,275,326,130705
9,385046,1,1,6549,21802,28353,1084,176,208,301871
10,255002,0,0,6289,17106,23395,2210,344,400,189127
11,133658,3,8,880,3999,4890,1899,265,286,110591
12,110796,1,0,1081,4087,5169,1302,197,258,90180
13,204449,0,0,1823,5460,7283,372,53,66,166200
14,269269,3,7,2841,8738,11589,2023,340,387,218101
15,304740,0,0,5436,19650,25086,1208,141,197,216218
16,187516,0,0,2537,7775,10312,830,87,138,148198
17,206008,0,0,5354,13694,19048,1205,175,204,152669
18,172989,0,0,3814,9716,13530,324,38,50,133723
19,106754,0,0,2987,4807,7794,2262,349,371,82344
20,96037,0,0,4046,8151,12197,729,77,97,68461
21,127749,0,0,2419,7485,9904,1801,313,327,99852
22,213783,0,0,3832,11430,15262,1628,290,354,165944
23,199225,0,0,3963,10345,14308,2421,370,393,153196
24,187022,1,1,4129,9492,13623,1297,201,253,144818
25,212123,0,0,7899,19721,27620,609,73,112,145198
26,124236,0,0,6191,6415,12606,1533,329,355,78890
27,157615,0,0,10422,8377,18799,1430,258,302,96576
28,134664,0,2,4924,5443,10369,1620,295,317,91608
29,150343,0,0,7023,12657,19680,286,44,56,89999
30,36545,0,0,1257,4149,5406,435,43,59,24266
31,20502,0,0,793,2275,3068,170,24,41,13341
32,102385,1,1,3393,7435,10830,599,58,90,67927
33,37807,0,0,783,2685,3468,433,52,73,27915
34,30102,0,0,667,2135,2802,548,63,92,21542
35,17925,2,1,262,1095,1360,287,35,42,12965
36,22257,0,0,291,763,1054,447,44,56,16976
37,331393,0,0,7195,27440,34635,1735,184,270,218563
38,32417,0,0,922,3025,3947,239,27,36,23627
Jumlah Data,6117548,43,42,163934,368925,532944,43162,6490,7853,4504843